ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CA
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.1279
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.1713
-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.1815
-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.1938
-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.1984
1.03,-3.35,15.921,-3.662,7.202,-1.704,0.1978
1.527,-3.35,15.921,-3.662,7.202,-1.704,0.1975
2.278,-3.35,15.921,-3.662,7.202,-1.704,0.1967
3.259,-3.35,15.921,-3.662,7.202,-1.704,0.1955
4.902,-3.35,15.921,-3.662,7.202,-1.704,0.1923
6.409,-3.35,15.921,-3.662,7.202,-1.704,0.1878
7.044,-3.35,15.921,-3.662,7.202,-1.704,0.1854
10.638,-3.35,15.921,-3.662,7.202,-1.704,0.1671
13.398,-3.35,15.921,-3.662,7.202,-1.704,0.1451
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.1279
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.1713
-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.1815
-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.1938
-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.1984
1.03,-3.35,15.921,-3.662,7.202,-1.704,0.1978
1.527,-3.35,15.921,-3.662,7.202,-1.704,0.1975
2.278,-3.35,15.921,-3.662,7.202,-1.704,0.1967
3.259,-3.35,15.921,-3.662,7.202,-1.704,0.1955
4.902,-3.35,15.921,-3.662,7.202,-1.704,0.1923
6.409,-3.35,15.921,-3.662,7.202,-1.704,0.1878
7.044,-3.35,15.921,-3.662,7.202,-1.704,0.1854
10.638,-3.35,15.921,-3.662,7.202,-1.704,0.1671
13.398,-3.35,15.921,-3.662,7.202,-1.704,0.1451
-14.015,-2.73,-6.255,-2.897,-14.703,1.506,0.1439
-12.125,-2.73,-6.255,-2.897,-14.703,1.506,0.1596
-10.768,-2.73,-6.255,-2.897,-14.703,1.506,0.1687
-8.771,-2.73,-6.255,-2.897,-14.703,1.506,0.1788
-7.487,-2.73,-6.255,-2.897,-14.703,1.506,0.1833
-6.581,-2.73,-6.255,-2.897,-14.703,1.506,0.1859
-6.537,-2.73,-6.255,-2.897,-14.703,1.506,0.186
-6.319,-2.73,-6.255,-2.897,-14.703,1.506,0.1865
-1.936,-2.73,-6.255,-2.897,-14.703,1.506,0.1906
-1.933,-2.73,-6.255,-2.897,-14.703,1.506,0.1906
5.286,-2.73,-6.255,-2.897,-14.703,1.506,0.1804
6.288,-2.73,-6.255,-2.897,-14.703,1.506,0.1768
10.475,-2.73,-6.255,-2.897,-14.703,1.506,0.1527
11.189,-2.73,-6.255,-2.897,-14.703,1.506,0.1469
-14.35,0.63,3.286,-10.896,7.617,-14.52,0.1377
-12.337,0.63,3.286,-10.896,7.617,-14.52,0.1605
-11.654,0.63,3.286,-10.896,7.617,-14.52,0.1672
-10.186,0.63,3.286,-10.896,7.617,-14.52,0.18
-6.93,0.63,3.286,-10.896,7.617,-14.52,0.2011
-4.059,0.63,3.286,-10.896,7.617,-14.52,0.2114
-2.114,0.63,3.286,-10.896,7.617,-14.52,0.2152
-1.953,0.63,3.286,-10.896,7.617,-14.52,0.2154
-1.597,0.63,3.286,-10.896,7.617,-14.52,0.2158
1.81,0.63,3.286,-10.896,7.617,-14.52,0.2171
4.651,0.63,3.286,-10.896,7.617,-14.52,0.2137
7.409,0.63,3.286,-10.896,7.617,-14.52,0.2029
8.518,0.63,3.286,-10.896,7.617,-14.52,0.1966
13.281,0.63,3.286,-10.896,7.617,-14.52,0.1561
-14.832,-14.19,-18.112,-6.04,-8.528,14.188,0.117
-11.57,-14.19,-18.112,-6.04,-8.528,14.188,0.1456
-11.241,-14.19,-18.112,-6.04,-8.528,14.188,0.148
-8.857,-14.19,-18.112,-6.04,-8.528,14.188,0.163
-8.745,-14.19,-18.112,-6.04,-8.528,14.188,0.1637
-6.99,-14.19,-18.112,-6.04,-8.528,14.188,0.1718
-6.18,-14.19,-18.112,-6.04,-8.528,14.188,0.1746
-5.419,-14.19,-18.112,-6.04,-8.528,14.188,0.1767
-5.027,-14.19,-18.112,-6.04,-8.528,14.188,0.1777
-4.531,-14.19,-18.112,-6.04,-8.528,14.188,0.1787
-2.798,-14.19,-18.112,-6.04,-8.528,14.188,0.1807
-1.436,-14.19,-18.112,-6.04,-8.528,14.188,0.1797
8.581,-14.19,-18.112,-6.04,-8.528,14.188,0.1223
10.717,-14.19,-18.112,-6.04,-8.528,14.188,0.0991
-12.979,10.66,5.675,9.35,-18.812,6.279,0.1452
-9.904,10.66,5.675,9.35,-18.812,6.279,0.1755
