ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLL
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.0051
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.0001
-8.861,-3.35,15.921,-3.662,7.202,-1.704,-0.0056
-5.75,-3.35,15.921,-3.662,7.202,-1.704,-0.0076
-2.185,-3.35,15.921,-3.662,7.202,-1.704,-0.0041
1.03,-3.35,15.921,-3.662,7.202,-1.704,-0.0027
1.527,-3.35,15.921,-3.662,7.202,-1.704,-0.003
2.278,-3.35,15.921,-3.662,7.202,-1.704,-0.0037
3.259,-3.35,15.921,-3.662,7.202,-1.704,-0.0053
4.902,-3.35,15.921,-3.662,7.202,-1.704,-0.0069
6.409,-3.35,15.921,-3.662,7.202,-1.704,-0.0073
7.044,-3.35,15.921,-3.662,7.202,-1.704,-0.008
10.638,-3.35,15.921,-3.662,7.202,-1.704,-0.004
13.398,-3.35,15.921,-3.662,7.202,-1.704,0.0018
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.0051
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.0001
-8.861,-3.35,15.921,-3.662,7.202,-1.704,-0.0056
-5.75,-3.35,15.921,-3.662,7.202,-1.704,-0.0076
-2.185,-3.35,15.921,-3.662,7.202,-1.704,-0.0041
1.03,-3.35,15.921,-3.662,7.202,-1.704,-0.0027
1.527,-3.35,15.921,-3.662,7.202,-1.704,-0.003
2.278,-3.35,15.921,-3.662,7.202,-1.704,-0.0037
3.259,-3.35,15.921,-3.662,7.202,-1.704,-0.0053
4.902,-3.35,15.921,-3.662,7.202,-1.704,-0.0069
6.409,-3.35,15.921,-3.662,7.202,-1.704,-0.0073
7.044,-3.35,15.921,-3.662,7.202,-1.704,-0.008
10.638,-3.35,15.921,-3.662,7.202,-1.704,-0.004
13.398,-3.35,15.921,-3.662,7.202,-1.704,0.0018
-14.015,-2.73,-6.255,-2.897,-14.703,1.506,-0.0025
-12.125,-2.73,-6.255,-2.897,-14.703,1.506,-0.0005
-10.768,-2.73,-6.255,-2.897,-14.703,1.506,0.002
-8.771,-2.73,-6.255,-2.897,-14.703,1.506,0.0078
-7.487,-2.73,-6.255,-2.897,-14.703,1.506,0.0098
-6.581,-2.73,-6.255,-2.897,-14.703,1.506,0.0078
-6.537,-2.73,-6.255,-2.897,-14.703,1.506,0.0077
-6.319,-2.73,-6.255,-2.897,-14.703,1.506,0.0074
-1.936,-2.73,-6.255,-2.897,-14.703,1.506,0.0036
-1.933,-2.73,-6.255,-2.897,-14.703,1.506,0.0036
5.286,-2.73,-6.255,-2.897,-14.703,1.506,0.0052
6.288,-2.73,-6.255,-2.897,-14.703,1.506,0.0055
10.475,-2.73,-6.255,-2.897,-14.703,1.506,0.0013
11.189,-2.73,-6.255,-2.897,-14.703,1.506,0.0001
-14.35,0.63,3.286,-10.896,7.617,-14.52,-0.0015
-12.337,0.63,3.286,-10.896,7.617,-14.52,-0.0077
-11.654,0.63,3.286,-10.896,7.617,-14.52,-0.0095
-10.186,0.63,3.286,-10.896,7.617,-14.52,-0.0084
-6.93,0.63,3.286,-10.896,7.617,-14.52,-0.0064
-4.059,0.63,3.286,-10.896,7.617,-14.52,-0.0021
-2.114,0.63,3.286,-10.896,7.617,-14.52,-0.0018
-1.953,0.63,3.286,-10.896,7.617,-14.52,-0.0019
-1.597,0.63,3.286,-10.896,7.617,-14.52,-0.0014
1.81,0.63,3.286,-10.896,7.617,-14.52,-0.0011
4.651,0.63,3.286,-10.896,7.617,-14.52,-0.0021
7.409,0.63,3.286,-10.896,7.617,-14.52,-0.0054
8.518,0.63,3.286,-10.896,7.617,-14.52,-0.0063
13.281,0.63,3.286,-10.896,7.617,-14.52,-0.001
