ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLN
-14.974,-3.35,15.921,-3.662,7.202,-1.704,-0.0547
-10.485,-3.35,15.921,-3.662,7.202,-1.704,-0.0497
-8.861,-3.35,15.921,-3.662,7.202,-1.704,-0.0322
-5.75,-3.35,15.921,-3.662,7.202,-1.704,-0.0435
-2.185,-3.35,15.921,-3.662,7.202,-1.704,-0.078
1.03,-3.35,15.921,-3.662,7.202,-1.704,-0.0894
1.527,-3.35,15.921,-3.662,7.202,-1.704,-0.0864
2.278,-3.35,15.921,-3.662,7.202,-1.704,-0.0796
3.259,-3.35,15.921,-3.662,7.202,-1.704,-0.0716
4.902,-3.35,15.921,-3.662,7.202,-1.704,-0.0593
6.409,-3.35,15.921,-3.662,7.202,-1.704,-0.0448
7.044,-3.35,15.921,-3.662,7.202,-1.704,-0.0374
10.638,-3.35,15.921,-3.662,7.202,-1.704,-0.0411
13.398,-3.35,15.921,-3.662,7.202,-1.704,-0.0645
-14.974,-3.35,15.921,-3.662,7.202,-1.704,-0.0547
-10.485,-3.35,15.921,-3.662,7.202,-1.704,-0.0497
-8.861,-3.35,15.921,-3.662,7.202,-1.704,-0.0322
-5.75,-3.35,15.921,-3.662,7.202,-1.704,-0.0435
-2.185,-3.35,15.921,-3.662,7.202,-1.704,-0.078
1.03,-3.35,15.921,-3.662,7.202,-1.704,-0.0894
1.527,-3.35,15.921,-3.662,7.202,-1.704,-0.0864
2.278,-3.35,15.921,-3.662,7.202,-1.704,-0.0796
3.259,-3.35,15.921,-3.662,7.202,-1.704,-0.0716
4.902,-3.35,15.921,-3.662,7.202,-1.704,-0.0593
6.409,-3.35,15.921,-3.662,7.202,-1.704,-0.0448
7.044,-3.35,15.921,-3.662,7.202,-1.704,-0.0374
10.638,-3.35,15.921,-3.662,7.202,-1.704,-0.0411
13.398,-3.35,15.921,-3.662,7.202,-1.704,-0.0645
-14.015,-2.73,-6.255,-2.897,-14.703,1.506,0.0149
-12.125,-2.73,-6.255,-2.897,-14.703,1.506,0.0041
