ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CM
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.1663
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.0889
-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.0674
-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.0307
-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.0046
1.03,-3.35,15.921,-3.662,7.202,-1.704,-0.0099
1.527,-3.35,15.921,-3.662,7.202,-1.704,-0.0117
2.278,-3.35,15.921,-3.662,7.202,-1.704,-0.0136
3.259,-3.35,15.921,-3.662,7.202,-1.704,-0.0152
4.902,-3.35,15.921,-3.662,7.202,-1.704,-0.0277
6.409,-3.35,15.921,-3.662,7.202,-1.704,-0.0492
7.044,-3.35,15.921,-3.662,7.202,-1.704,-0.0571
10.638,-3.35,15.921,-3.662,7.202,-1.704,-0.1041
13.398,-3.35,15.921,-3.662,7.202,-1.704,-0.1458
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.1663
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.0889
-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.0674
-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.0307
-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.0046
1.03,-3.35,15.921,-3.662,7.202,-1.704,-0.0099
1.527,-3.35,15.921,-3.662,7.202,-1.704,-0.0117
2.278,-3.35,15.921,-3.662,7.202,-1.704,-0.0136
3.259,-3.35,15.921,-3.662,7.202,-1.704,-0.0152
4.902,-3.35,15.921,-3.662,7.202,-1.704,-0.0277
6.409,-3.35,15.921,-3.662,7.202,-1.704,-0.0492
7.044,-3.35,15.921,-3.662,7.202,-1.704,-0.0571
10.638,-3.35,15.921,-3.662,7.202,-1.704,-0.1041
13.398,-3.35,15.921,-3.662,7.202,-1.704,-0.1458
-14.015,-2.73,-6.255,-2.897,-14.703,1.506,0.136
