ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CN
-14.974,-3.35,15.921,-3.662,7.202,-1.704,-2.0701
-10.485,-3.35,15.921,-3.662,7.202,-1.704,-1.3661
-8.861,-3.35,15.921,-3.662,7.202,-1.704,-1.1247
-5.75,-3.35,15.921,-3.662,7.202,-1.704,-0.6839
-2.185,-3.35,15.921,-3.662,7.202,-1.704,-0.2549
1.03,-3.35,15.921,-3.662,7.202,-1.704,0.0875
1.527,-3.35,15.921,-3.662,7.202,-1.704,0.1392
2.278,-3.35,15.921,-3.662,7.202,-1.704,0.2157
3.259,-3.35,15.921,-3.662,7.202,-1.704,0.3139
4.902,-3.35,15.921,-3.662,7.202,-1.704,0.5136
6.409,-3.35,15.921,-3.662,7.202,-1.704,0.7345
7.044,-3.35,15.921,-3.662,7.202,-1.704,0.8258
10.638,-3.35,15.921,-3.662,7.202,-1.704,1.3569
13.398,-3.35,15.921,-3.662,7.202,-1.704,1.7877
-14.974,-3.35,15.921,-3.662,7.202,-1.704,-2.0701
-10.485,-3.35,15.921,-3.662,7.202,-1.704,-1.3661
-8.861,-3.35,15.921,-3.662,7.202,-1.704,-1.1247
-5.75,-3.35,15.921,-3.662,7.202,-1.704,-0.6839
-2.185,-3.35,15.921,-3.662,7.202,-1.704,-0.2549
1.03,-3.35,15.921,-3.662,7.202,-1.704,0.0875
1.527,-3.35,15.921,-3.662,7.202,-1.704,0.1392
2.278,-3.35,15.921,-3.662,7.202,-1.704,0.2157
3.259,-3.35,15.921,-3.662,7.202,-1.704,0.3139
4.902,-3.35,15.921,-3.662,7.202,-1.704,0.5136
6.409,-3.35,15.921,-3.662,7.202,-1.704,0.7345
7.044,-3.35,15.921,-3.662,7.202,-1.704,0.8258
10.638,-3.35,15.921,-3.662,7.202,-1.704,1.3569
13.398,-3.35,15.921,-3.662,7.202,-1.704,1.7877
-14.015,-2.73,-6.255,-2.897,-14.703,1.506,-1.9443
-12.125,-2.73,-6.255,-2.897,-14.703,1.506,-1.6445
-10.768,-2.73,-6.255,-2.897,-14.703,1.506,-1.4368
-8.771,-2.73,-6.255,-2.897,-14.703,1.506,-1.138
-7.487,-2.73,-6.255,-2.897,-14.703,1.506,-0.9488
-6.581,-2.73,-6.255,-2.897,-14.703,1.506,-0.8183
-6.537,-2.73,-6.255,-2.897,-14.703,1.506,-0.8121
-6.319,-2.73,-6.255,-2.897,-14.703,1.506,-0.7814
-1.936,-2.73,-6.255,-2.897,-14.703,1.506,-0.2342
-1.933,-2.73,-6.255,-2.897,-14.703,1.506,-0.2338
5.286,-2.73,-6.255,-2.897,-14.703,1.506,0.5558
6.288,-2.73,-6.255,-2.897,-14.703,1.506,0.6973
10.475,-2.73,-6.255,-2.897,-14.703,1.506,1.3185
11.189,-2.73,-6.255,-2.897,-14.703,1.506,1.4288
-14.35,0.63,3.286,-10.896,7.617,-14.52,-1.8657
-12.337,0.63,3.286,-10.896,7.617,-14.52,-1.5586
-11.654,0.63,3.286,-10.896,7.617,-14.52,-1.4607
-10.186,0.63,3.286,-10.896,7.617,-14.52,-1.2537
-6.93,0.63,3.286,-10.896,7.617,-14.52,-0.8009
-4.059,0.63,3.286,-10.896,7.617,-14.52,-0.4292
-2.114,0.63,3.286,-10.896,7.617,-14.52,-0.2017
-1.953,0.63,3.286,-10.896,7.617,-14.52,-0.1842
-1.597,0.63,3.286,-10.896,7.617,-14.52,-0.1465
1.81,0.63,3.286,-10.896,7.617,-14.52,0.1977
4.651,0.63,3.286,-10.896,7.617,-14.52,0.53
7.409,0.63,3.286,-10.896,7.617,-14.52,0.876
8.518,0.63,3.286,-10.896,7.617,-14.52,1.0328
13.281,0.63,3.286,-10.896,7.617,-14.52,1.7307
-14.832,-14.19,-18.112,-6.04,-8.528,14.188,-2.0712
-11.57,-14.19,-18.112,-6.04,-8.528,14.188,-1.5336
-11.241,-14.19,-18.112,-6.04,-8.528,14.188,-1.4813
-8.857,-14.19,-18.112,-6.04,-8.528,14.188,-1.1221
-8.745,-14.19,-18.112,-6.04,-8.528,14.188,-1.1061
-6.99,-14.19,-18.112,-6.04,-8.528,14.188,-0.8653
-6.18,-14.19,-18.112,-6.04,-8.528,14.188,-0.7613
-5.419,-14.19,-18.112,-6.04,-8.528,14.188,-0.6682
