ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CY
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.297
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.308
-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.2569
-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.2919
-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.3906
1.03,-3.35,15.921,-3.662,7.202,-1.704,0.4248
1.527,-3.35,15.921,-3.662,7.202,-1.704,0.4157
2.278,-3.35,15.921,-3.662,7.202,-1.704,0.3957
3.259,-3.35,15.921,-3.662,7.202,-1.704,0.3727
4.902,-3.35,15.921,-3.662,7.202,-1.704,0.3388
6.409,-3.35,15.921,-3.662,7.202,-1.704,0.2973
7.044,-3.35,15.921,-3.662,7.202,-1.704,0.2757
10.638,-3.35,15.921,-3.662,7.202,-1.704,0.2788
13.398,-3.35,15.921,-3.662,7.202,-1.704,0.3396
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.297
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.308
-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.2569
-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.2919
-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.3906
1.03,-3.35,15.921,-3.662,7.202,-1.704,0.4248
1.527,-3.35,15.921,-3.662,7.202,-1.704,0.4157
2.278,-3.35,15.921,-3.662,7.202,-1.704,0.3957
3.259,-3.35,15.921,-3.662,7.202,-1.704,0.3727
4.902,-3.35,15.921,-3.662,7.202,-1.704,0.3388
6.409,-3.35,15.921,-3.662,7.202,-1.704,0.2973
7.044,-3.35,15.921,-3.662,7.202,-1.704,0.2757
10.638,-3.35,15.921,-3.662,7.202,-1.704,0.2788
13.398,-3.35,15.921,-3.662,7.202,-1.704,0.3396
-14.015,-2.73,-6.255,-2.897,-14.703,1.506,0.0219
-12.125,-2.73,-6.255,-2.897,-14.703,1.506,0.0689
-10.768,-2.73,-6.255,-2.897,-14.703,1.506,0.1237
-8.771,-2.73,-6.255,-2.897,-14.703,1.506,0.2358
-7.487,-2.73,-6.255,-2.897,-14.703,1.506,0.2692
-6.581,-2.73,-6.255,-2.897,-14.703,1.506,0.2241
-6.537,-2.73,-6.255,-2.897,-14.703,1.506,0.2223
-6.319,-2.73,-6.255,-2.897,-14.703,1.506,0.2138
-1.936,-2.73,-6.255,-2.897,-14.703,1.506,0.134
-1.933,-2.73,-6.255,-2.897,-14.703,1.506,0.1339
5.286,-2.73,-6.255,-2.897,-14.703,1.506,0.1802
6.288,-2.73,-6.255,-2.897,-14.703,1.506,0.1985
10.475,-2.73,-6.255,-2.897,-14.703,1.506,0.156
